Category: All categories

Month,data science: (Netherlands)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,18
2004-12,0
2005-01,0
2005-02,0
2005-03,13
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,16
2005-09,18
2005-10,0
2005-11,0
2005-12,0
2006-01,11
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,17
2006-07,25
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,9
2007-02,0
2007-03,0
2007-04,0
2007-05,13
2007-06,0
2007-07,0
2007-08,0
2007-09,7
2007-10,0
2007-11,17
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,7
2008-05,0
2008-06,0
2008-07,0
2008-08,7
2008-09,0
2008-10,8
2008-11,0
2008-12,7
2009-01,0
2009-02,0
2009-03,0
2009-04,11
2009-05,0
2009-06,0
2009-07,0
2009-08,13
2009-09,6
2009-10,5
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,10
2010-06,0
2010-07,4
2010-08,0
2010-09,0
2010-10,0
2010-11,3
2010-12,0
2011-01,0
2011-02,4
2011-03,4
2011-04,0
2011-05,4
2011-06,0
2011-07,0
2011-08,4
2011-09,7
2011-10,0
2011-11,0
2011-12,0
2012-01,11
2012-02,0
2012-03,3
2012-04,0
2012-05,2
2012-06,0
2012-07,4
2012-08,0
2012-09,5
2012-10,0
2012-11,0
2012-12,0
2013-01,6
2013-02,0
2013-03,0
2013-04,0
2013-05,4
2013-06,3
2013-07,4
2013-08,2
2013-09,6
2013-10,8
2013-11,7
2013-12,5
2014-01,10
2014-02,7
2014-03,6
2014-04,7
2014-05,6
2014-06,5
2014-07,8
2014-08,4
2014-09,8
2014-10,9
2014-11,17
2014-12,15
2015-01,12
2015-02,10
2015-03,14
2015-04,15
2015-05,11
2015-06,20
2015-07,18
2015-08,9
2015-09,18
2015-10,22
2015-11,16
2015-12,25
2016-01,23
2016-02,30
2016-03,27
2016-04,29
2016-05,28
2016-06,23
2016-07,25
2016-08,20
2016-09,30
2016-10,32
2016-11,39
2016-12,41
2017-01,55
2017-02,48
2017-03,53
2017-04,37
2017-05,51
2017-06,43
2017-07,45
2017-08,36
2017-09,52
2017-10,61
2017-11,55
2017-12,45
2018-01,62
2018-02,62
2018-03,52
2018-04,55
2018-05,57
2018-06,57
2018-07,53
2018-08,62
2018-09,67
2018-10,70
2018-11,80
2018-12,54
2019-01,67
2019-02,78
2019-03,60
2019-04,80
2019-05,62
2019-06,77
2019-07,60
2019-08,59
2019-09,83
2019-10,84
2019-11,82
2019-12,57
2020-01,81
2020-02,85
2020-03,73
2020-04,65
2020-05,66
2020-06,68
2020-07,62
2020-08,63
2020-09,80
2020-10,62
2020-11,74
2020-12,50
2021-01,54
2021-02,62
2021-03,67
2021-04,58
2021-05,50
2021-06,50
2021-07,52
2021-08,51
2021-09,54
2021-10,66
2021-11,66
2021-12,50
2022-01,84
2022-02,87
2022-03,80
2022-04,97
2022-05,93
2022-06,80
2022-07,72
2022-08,69
2022-09,97
2022-10,87
2022-11,75
2022-12,75
2023-01,86
2023-02,100
2023-03,87
2023-04,76
