Category: All categories

Month,diet: (Netherlands)
2004-01,100
2004-02,70
2004-03,60
2004-04,48
2004-05,59
2004-06,47
2004-07,51
2004-08,61
2004-09,35
2004-10,42
2004-11,33
2004-12,49
2005-01,39
2005-02,37
2005-03,45
2005-04,33
2005-05,42
2005-06,36
2005-07,34
2005-08,42
2005-09,35
2005-10,34
2005-11,29
2005-12,25
2006-01,34
2006-02,28
2006-03,28
2006-04,36
2006-05,38
2006-06,50
2006-07,49
2006-08,34
2006-09,27
2006-10,22
2006-11,31
2006-12,35
2007-01,36
2007-02,33
2007-03,32
2007-04,39
2007-05,34
2007-06,31
2007-07,32
2007-08,28
2007-09,28
2007-10,24
2007-11,27
2007-12,23
2008-01,32
2008-02,26
2008-03,26
2008-04,33
2008-05,35
2008-06,26
2008-07,32
2008-08,28
2008-09,27
2008-10,24
2008-11,26
2008-12,23
2009-01,30
2009-02,30
2009-03,34
2009-04,32
2009-05,30
2009-06,31
2009-07,32
2009-08,31
2009-09,32
2009-10,28
2009-11,34
2009-12,30
2010-01,36
2010-02,42
2010-03,39
2010-04,34
2010-05,36
2010-06,37
2010-07,33
2010-08,35
2010-09,38
2010-10,33
2010-11,30
2010-12,25
2011-01,33
2011-02,35
2011-03,35
2011-04,36
2011-05,40
2011-06,44
2011-07,47
2011-08,44
2011-09,41
2011-10,37
2011-11,38
2011-12,33
2012-01,41
2012-02,41
2012-03,46
2012-04,40
2012-05,46
2012-06,49
2012-07,56
2012-08,44
2012-09,42
2012-10,38
2012-11,30
2012-12,31
2013-01,46
2013-02,40
2013-03,45
2013-04,52
2013-05,54
2013-06,46
2013-07,53
2013-08,50
2013-09,43
2013-10,41
2013-11,41
2013-12,34
2014-01,53
2014-02,47
2014-03,48
2014-04,50
2014-05,55
2014-06,47
2014-07,55
2014-08,57
2014-09,49
2014-10,52
2014-11,45
2014-12,37
2015-01,57
2015-02,51
2015-03,53
2015-04,55
2015-05,60
2015-06,64
2015-07,58
2015-08,53
2015-09,42
2015-10,45
2015-11,43
2015-12,41
2016-01,54
2016-02,56
2016-03,50
2016-04,53
2016-05,65
2016-06,56
2016-07,54
2016-08,48
2016-09,43
2016-10,42
2016-11,41
2016-12,38
2017-01,49
2017-02,66
2017-03,50
2017-04,45
2017-05,51
2017-06,45
2017-07,45
2017-08,50
2017-09,42
2017-10,42
2017-11,37
2017-12,34
2018-01,48
2018-02,42
2018-03,49
2018-04,51
2018-05,49
2018-06,48
2018-07,47
2018-08,51
2018-09,47
2018-10,64
2018-11,41
2018-12,40
2019-01,55
2019-02,52
2019-03,48
2019-04,60
2019-05,55
2019-06,45
2019-07,47
2019-08,48
2019-09,42
2019-10,49
2019-11,44
2019-12,38
2020-01,57
2020-02,53
2020-03,37
2020-04,45
2020-05,56
2020-06,52
2020-07,46
2020-08,46
2020-09,39
2020-10,40
2020-11,39
2020-12,33
2021-01,40
2021-02,38
2021-03,36
2021-04,39
2021-05,39
2021-06,39
2021-07,36
2021-08,36
2021-09,36
2021-10,29
2021-11,31
2021-12,29
2022-01,43
2022-02,43
2022-03,46
2022-04,43
2022-05,46
2022-06,40
2022-07,38
2022-08,38
2022-09,38
2022-10,37
2022-11,36
2022-12,34
2023-01,49
2023-02,40
2023-03,46
2023-04,47
