Category: All categories

Week,diet: (Netherlands)
2018-04-22,48
2018-04-29,42
2018-05-06,50
2018-05-13,59
2018-05-20,52
2018-05-27,43
2018-06-03,48
2018-06-10,44
2018-06-17,42
2018-06-24,43
2018-07-01,46
2018-07-08,49
2018-07-15,47
2018-07-22,49
2018-07-29,39
2018-08-05,48
2018-08-12,58
2018-08-19,48
2018-08-26,41
2018-09-02,41
2018-09-09,51
2018-09-16,51
2018-09-23,48
2018-09-30,100
2018-10-07,62
2018-10-14,41
2018-10-21,41
2018-10-28,46
2018-11-04,39
2018-11-11,43
2018-11-18,36
2018-11-25,48
2018-12-02,37
2018-12-09,35
2018-12-16,40
2018-12-23,35
2018-12-30,47
2019-01-06,57
2019-01-13,57
2019-01-20,51
2019-01-27,46
2019-02-03,46
2019-02-10,49
2019-02-17,51
2019-02-24,49
2019-03-03,42
2019-03-10,46
2019-03-17,49
2019-03-24,55
2019-03-31,66
2019-04-07,50
2019-04-14,58
2019-04-21,61
2019-04-28,55
2019-05-05,51
2019-05-12,50
2019-05-19,55
2019-05-26,52
2019-06-02,41
2019-06-09,42
2019-06-16,46
2019-06-23,49
2019-06-30,45
2019-07-07,45
2019-07-14,50
2019-07-21,43
2019-07-28,49
2019-08-04,45
2019-08-11,48
2019-08-18,47
2019-08-25,42
2019-09-01,40
2019-09-08,46
2019-09-15,38
2019-09-22,38
2019-09-29,43
2019-10-06,44
2019-10-13,48
2019-10-20,52
2019-10-27,43
2019-11-03,42
2019-11-10,44
2019-11-17,48
2019-11-24,40
2019-12-01,39
2019-12-08,44
2019-12-15,35
2019-12-22,34
2019-12-29,47
2020-01-05,65
2020-01-12,56
2020-01-19,47
2020-01-26,50
2020-02-02,51
2020-02-09,48
2020-02-16,49
2020-02-23,48
2020-03-01,45
2020-03-08,35
2020-03-15,29
2020-03-22,34
2020-03-29,38
2020-04-05,40
2020-04-12,46
2020-04-19,42
2020-04-26,46
2020-05-03,54
2020-05-10,55
2020-05-17,55
2020-05-24,51
2020-05-31,48
2020-06-07,54
2020-06-14,43
2020-06-21,46
2020-06-28,47
2020-07-05,42
2020-07-12,47
2020-07-19,47
2020-07-26,43
2020-08-02,47
2020-08-09,41
2020-08-16,48
2020-08-23,40
2020-08-30,40
2020-09-06,42
2020-09-13,41
2020-09-20,36
2020-09-27,40
2020-10-04,38
2020-10-11,34
2020-10-18,42
2020-10-25,41
2020-11-01,36
2020-11-08,39
2020-11-15,43
2020-11-22,29
2020-11-29,31
2020-12-06,28
2020-12-13,29
2020-12-20,27
2020-12-27,37
2021-01-03,37
2021-01-10,41
2021-01-17,41
2021-01-24,38
2021-01-31,37
2021-02-07,32
2021-02-14,36
2021-02-21,43
2021-02-28,41
2021-03-07,33
2021-03-14,31
2021-03-21,33
2021-03-28,36
2021-04-04,37
2021-04-11,42
2021-04-18,37
2021-04-25,34
2021-05-02,36
2021-05-09,36
2021-05-16,41
2021-05-23,37
2021-05-30,44
2021-06-06,37
2021-06-13,37
2021-06-20,33
2021-06-27,39
2021-07-04,38
2021-07-11,34
2021-07-18,27
2021-07-25,34
2021-08-01,31
2021-08-08,35
2021-08-15,38
2021-08-22,37
2021-08-29,27
2021-09-05,39
2021-09-12,40
2021-09-19,33
2021-09-26,26
2021-10-03,28
2021-10-10,28
2021-10-17,32
2021-10-24,23
2021-10-31,30
2021-11-07,30
2021-11-14,28
2021-11-21,33
2021-11-28,30
2021-12-05,28
2021-12-12,29
2021-12-19,20
2021-12-26,34
2022-01-02,50
2022-01-09,37
2022-01-16,36
2022-01-23,45
2022-01-30,40
2022-02-06,41
2022-02-13,42
2022-02-20,41
2022-02-27,42
2022-03-06,48
2022-03-13,46
2022-03-20,40
2022-03-27,39
2022-04-03,40
2022-04-10,38
2022-04-17,41
2022-04-24,42
2022-05-01,45
2022-05-08,43
2022-05-15,45
2022-05-22,43
2022-05-29,44
2022-06-05,41
2022-06-12,44
2022-06-19,29
2022-06-26,37
2022-07-03,33
2022-07-10,37
2022-07-17,42
2022-07-24,46
2022-07-31,39
2022-08-07,38
2022-08-14,41
2022-08-21,34
2022-08-28,36
2022-09-04,39
2022-09-11,34
2022-09-18,38
2022-09-25,38
2022-10-02,34
2022-10-09,38
2022-10-16,30
2022-10-23,42
2022-10-30,36
2022-11-06,34
2022-11-13,36
2022-11-20,34
2022-11-27,35
2022-12-04,32
2022-12-11,34
2022-12-18,35
2022-12-25,35
2023-01-01,51
2023-01-08,50
2023-01-15,42
2023-01-22,47
2023-01-29,38
2023-02-05,38
2023-02-12,42
2023-02-19,35
2023-02-26,40
2023-03-05,43
2023-03-12,45
2023-03-19,41
2023-03-26,45
2023-04-02,45
2023-04-09,48
