Category: All categories

Week,diet: (United States)
2018-04-22,76
2018-04-29,77
2018-05-06,78
2018-05-13,76
2018-05-20,70
2018-05-27,69
2018-06-03,72
2018-06-10,72
2018-06-17,69
2018-06-24,68
2018-07-01,73
2018-07-08,75
2018-07-15,71
2018-07-22,75
2018-07-29,74
2018-08-05,78
2018-08-12,73
2018-08-19,67
2018-08-26,63
2018-09-02,61
2018-09-09,60
2018-09-16,63
2018-09-23,59
2018-09-30,62
2018-10-07,58
2018-10-14,62
2018-10-21,53
2018-10-28,59
2018-11-04,57
2018-11-11,51
2018-11-18,44
2018-11-25,53
2018-12-02,54
2018-12-09,50
2018-12-16,48
2018-12-23,61
2018-12-30,100
2019-01-06,97
2019-01-13,80
2019-01-20,78
2019-01-27,76
2019-02-03,71
2019-02-10,66
2019-02-17,70
2019-02-24,66
2019-03-03,72
2019-03-10,66
2019-03-17,70
2019-03-24,69
2019-03-31,81
2019-04-07,68
2019-04-14,68
2019-04-21,68
2019-04-28,65
2019-05-05,64
2019-05-12,61
2019-05-19,60
2019-05-26,62
2019-06-02,61
2019-06-09,56
2019-06-16,58
2019-06-23,57
2019-06-30,57
2019-07-07,59
2019-07-14,59
2019-07-21,60
2019-07-28,58
2019-08-04,57
2019-08-11,56
2019-08-18,57
2019-08-25,53
2019-09-01,51
2019-09-08,53
2019-09-15,54
2019-09-22,53
2019-09-29,52
2019-10-06,49
2019-10-13,50
2019-10-20,50
2019-10-27,50
2019-11-03,53
2019-11-10,48
2019-11-17,48
2019-11-24,41
2019-12-01,47
2019-12-08,43
2019-12-15,41
2019-12-22,46
2019-12-29,75
2020-01-05,76
2020-01-12,65
2020-01-19,61
2020-01-26,60
2020-02-02,57
2020-02-09,59
2020-02-16,63
2020-02-23,61
2020-03-01,57
2020-03-08,44
2020-03-15,32
2020-03-22,33
2020-03-29,35
2020-04-05,38
2020-04-12,40
2020-04-19,44
2020-04-26,47
2020-05-03,48
2020-05-10,47
2020-05-17,51
2020-05-24,52
2020-05-31,46
2020-06-07,51
2020-06-14,49
2020-06-21,51
2020-06-28,49
2020-07-05,51
2020-07-12,49
2020-07-19,50
2020-07-26,49
2020-08-02,48
2020-08-09,48
2020-08-16,46
2020-08-23,46
2020-08-30,44
2020-09-06,44
2020-09-13,44
2020-09-20,44
2020-09-27,42
2020-10-04,45
2020-10-11,44
2020-10-18,46
2020-10-25,47
2020-11-01,36
2020-11-08,41
2020-11-15,40
2020-11-22,34
2020-11-29,40
2020-12-06,37
2020-12-13,35
2020-12-20,33
2020-12-27,47
2021-01-03,54
2021-01-10,48
2021-01-17,50
2021-01-24,52
2021-01-31,51
2021-02-07,52
2021-02-14,47
2021-02-21,51
2021-02-28,51
2021-03-07,45
2021-03-14,45
2021-03-21,51
2021-03-28,47
2021-04-04,48
2021-04-11,46
2021-04-18,47
2021-04-25,46
2021-05-02,46
2021-05-09,44
2021-05-16,46
2021-05-23,47
2021-05-30,46
2021-06-06,47
2021-06-13,44
2021-06-20,44
2021-06-27,42
2021-07-04,43
2021-07-11,45
2021-07-18,43
2021-07-25,41
2021-08-01,40
2021-08-08,40
2021-08-15,41
2021-08-22,40
2021-08-29,38
2021-09-05,38
2021-09-12,40
2021-09-19,40
2021-09-26,40
2021-10-03,40
2021-10-10,40
2021-10-17,38
2021-10-24,38
2021-10-31,38
2021-11-07,40
2021-11-14,38
2021-11-21,28
2021-11-28,37
2021-12-05,34
2021-12-12,32
2021-12-19,29
2021-12-26,41
2022-01-02,53
2022-01-09,46
2022-01-16,42
2022-01-23,46
2022-01-30,46
2022-02-06,48
2022-02-13,45
2022-02-20,47
2022-02-27,48
2022-03-06,47
2022-03-13,46
2022-03-20,47
2022-03-27,46
2022-04-03,44
2022-04-10,45
2022-04-17,45
2022-04-24,46
2022-05-01,45
2022-05-08,44
2022-05-15,44
2022-05-22,39
2022-05-29,43
2022-06-05,45
2022-06-12,43
2022-06-19,45
2022-06-26,43
2022-07-03,45
2022-07-10,46
2022-07-17,45
2022-07-24,43
2022-07-31,40
2022-08-07,41
2022-08-14,44
2022-08-21,44
2022-08-28,38
2022-09-04,39
2022-09-11,39
2022-09-18,38
2022-09-25,38
2022-10-02,38
2022-10-09,39
2022-10-16,37
2022-10-23,37
2022-10-30,38
2022-11-06,36
2022-11-13,37
2022-11-20,30
2022-11-27,36
2022-12-04,37
2022-12-11,34
2022-12-18,31
2022-12-25,40
2023-01-01,50
2023-01-08,47
2023-01-15,44
2023-01-22,47
2023-01-29,45
2023-02-05,43
2023-02-12,43
2023-02-19,45
2023-02-26,46
2023-03-05,47
2023-03-12,48
2023-03-19,45
2023-03-26,48
2023-04-02,43
2023-04-09,43
