Category: All categories

Week,griep: (Netherlands)
2018-04-22,5
2018-04-29,5
2018-05-06,4
2018-05-13,4
2018-05-20,4
2018-05-27,3
2018-06-03,3
2018-06-10,3
2018-06-17,4
2018-06-24,4
2018-07-01,4
2018-07-08,3
2018-07-15,3
2018-07-22,2
2018-07-29,3
2018-08-05,2
2018-08-12,3
2018-08-19,3
2018-08-26,4
2018-09-02,5
2018-09-09,6
2018-09-16,7
2018-09-23,7
2018-09-30,7
2018-10-07,7
2018-10-14,6
2018-10-21,7
2018-10-28,7
2018-11-04,8
2018-11-11,7
2018-11-18,8
2018-11-25,9
2018-12-02,10
2018-12-09,9
2018-12-16,10
2018-12-23,15
2018-12-30,17
2019-01-06,20
2019-01-13,17
2019-01-20,16
2019-01-27,16
2019-02-03,27
2019-02-10,27
2019-02-17,21
2019-02-24,15
2019-03-03,14
2019-03-10,12
2019-03-17,10
2019-03-24,9
2019-03-31,8
2019-04-07,6
2019-04-14,5
2019-04-21,4
2019-04-28,5
2019-05-05,4
2019-05-12,4
2019-05-19,3
2019-05-26,4
2019-06-02,3
2019-06-09,4
2019-06-16,3
2019-06-23,2
2019-06-30,4
2019-07-07,4
2019-07-14,3
2019-07-21,3
2019-07-28,3
2019-08-04,3
2019-08-11,3
2019-08-18,3
2019-08-25,3
2019-09-01,4
2019-09-08,6
2019-09-15,7
2019-09-22,8
2019-09-29,6
2019-10-06,9
2019-10-13,8
2019-10-20,7
2019-10-27,7
2019-11-03,8
2019-11-10,9
2019-11-17,9
2019-11-24,8
2019-12-01,9
2019-12-08,10
2019-12-15,11
2019-12-22,10
2019-12-29,11
2020-01-05,14
2020-01-12,15
2020-01-19,19
2020-01-26,30
2020-02-02,23
2020-02-09,19
2020-02-16,18
2020-02-23,64
2020-03-01,65
2020-03-08,91
2020-03-15,100
2020-03-22,59
2020-03-29,40
2020-04-05,23
2020-04-12,18
2020-04-19,15
2020-04-26,12
2020-05-03,9
2020-05-10,11
2020-05-17,7
2020-05-24,5
2020-05-31,5
2020-06-07,6
2020-06-14,5
2020-06-21,5
2020-06-28,7
2020-07-05,5
2020-07-12,6
2020-07-19,6
2020-07-26,6
2020-08-02,6
2020-08-09,6
2020-08-16,7
2020-08-23,6
2020-08-30,7
2020-09-06,8
2020-09-13,9
2020-09-20,12
2020-09-27,14
2020-10-04,14
2020-10-11,16
2020-10-18,14
2020-10-25,12
2020-11-01,8
2020-11-08,8
2020-11-15,9
2020-11-22,9
2020-11-29,8
2020-12-06,11
2020-12-13,12
2020-12-20,12
2020-12-27,10
2021-01-03,10
2021-01-10,10
2021-01-17,12
2021-01-24,9
2021-01-31,7
2021-02-07,6
2021-02-14,7
2021-02-21,8
2021-02-28,7
2021-03-07,7
2021-03-14,7
2021-03-21,6
2021-03-28,5
2021-04-04,7
2021-04-11,7
2021-04-18,6
2021-04-25,6
2021-05-02,6
2021-05-09,5
2021-05-16,5
2021-05-23,4
2021-05-30,5
2021-06-06,5
2021-06-13,4
2021-06-20,4
2021-06-27,4
2021-07-04,7
2021-07-11,7
2021-07-18,5
2021-07-25,5
2021-08-01,5
2021-08-08,5
2021-08-15,4
2021-08-22,4
2021-08-29,4
2021-09-05,5
2021-09-12,6
2021-09-19,7
2021-09-26,7
2021-10-03,9
2021-10-10,13
2021-10-17,13
2021-10-24,14
2021-10-31,15
2021-11-07,14
2021-11-14,14
2021-11-21,12
2021-11-28,10
2021-12-05,9
2021-12-12,8
2021-12-19,9
2021-12-26,8
2022-01-02,8
2022-01-09,12
2022-01-16,8
2022-01-23,8
2022-01-30,7
2022-02-06,6
2022-02-13,6
2022-02-20,5
2022-02-27,8
2022-03-06,13
2022-03-13,16
2022-03-20,17
2022-03-27,15
2022-04-03,16
2022-04-10,16
2022-04-17,12
2022-04-24,9
2022-05-01,8
2022-05-08,6
2022-05-15,5
2022-05-22,4
2022-05-29,5
2022-06-05,5
2022-06-12,5
2022-06-19,4
2022-06-26,4
2022-07-03,5
2022-07-10,5
2022-07-17,4
2022-07-24,4
2022-07-31,3
2022-08-07,3
2022-08-14,3
2022-08-21,3
2022-08-28,3
2022-09-04,3
2022-09-11,5
2022-09-18,6
2022-09-25,7
2022-10-02,9
2022-10-09,8
2022-10-16,10
2022-10-23,7
2022-10-30,7
2022-11-06,7
2022-11-13,7
2022-11-20,8
2022-11-27,9
2022-12-04,11
2022-12-11,14
2022-12-18,30
2022-12-25,36
2023-01-01,33
2023-01-08,24
2023-01-15,16
2023-01-22,13
2023-01-29,15
2023-02-05,14
2023-02-12,16
2023-02-19,16
2023-02-26,15
2023-03-05,13
2023-03-12,9
2023-03-19,9
2023-03-26,7
2023-04-02,6
2023-04-09,6
