Category: All categories

Month,gripe: (Netherlands)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,25
2005-03,47
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,77
2005-09,43
2005-10,0
2005-11,0
2005-12,0
2006-01,27
2006-02,28
2006-03,37
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,23
2006-09,0
2006-10,18
2006-11,26
2006-12,0
2007-01,12
2007-02,14
2007-03,18
2007-04,55
2007-05,0
2007-06,0
2007-07,17
2007-08,22
2007-09,0
2007-10,10
2007-11,9
2007-12,11
2008-01,15
2008-02,0
2008-03,0
2008-04,0
2008-05,18
2008-06,21
2008-07,0
2008-08,22
2008-09,10
2008-10,0
2008-11,15
2008-12,8
2009-01,0
2009-02,0
2009-03,0
2009-04,81
2009-05,45
2009-06,42
2009-07,100
2009-08,100
2009-09,54
2009-10,61
2009-11,93
2009-12,14
2010-01,0
2010-02,0
2010-03,0
2010-04,9
2010-05,0
2010-06,12
2010-07,0
2010-08,11
2010-09,0
2010-10,15
2010-11,0
2010-12,0
2011-01,28
2011-02,0
2011-03,10
2011-04,0
2011-05,11
2011-06,10
2011-07,6
2011-08,9
2011-09,5
2011-10,22
2011-11,6
2011-12,10
2012-01,3
2012-02,0
2012-03,5
2012-04,0
2012-05,0
2012-06,0
2012-07,6
2012-08,15
2012-09,7
2012-10,10
2012-11,8
2012-12,8
2013-01,15
2013-02,27
2013-03,5
2013-04,13
2013-05,5
2013-06,0
2013-07,4
2013-08,0
2013-09,7
2013-10,8
2013-11,17
2013-12,3
2014-01,16
2014-02,5
2014-03,12
2014-04,0
2014-05,6
2014-06,21
2014-07,9
2014-08,13
2014-09,13
2014-10,16
2014-11,21
2014-12,12
2015-01,18
2015-02,23
2015-03,20
2015-04,11
2015-05,10
2015-06,12
2015-07,8
2015-08,16
2015-09,9
2015-10,9
2015-11,16
2015-12,14
2016-01,15
2016-02,15
2016-03,3
2016-04,14
2016-05,14
2016-06,4
2016-07,13
2016-08,0
2016-09,7
2016-10,15
2016-11,14
2016-12,16
2017-01,6
2017-02,14
2017-03,13
2017-04,8
2017-05,3
2017-06,14
2017-07,6
2017-08,4
2017-09,0
2017-10,7
2017-11,10
2017-12,10
2018-01,18
2018-02,20
2018-03,3
2018-04,2
2018-05,10
2018-06,4
2018-07,4
2018-08,0
2018-09,7
2018-10,14
2018-11,5
2018-12,7
2019-01,15
2019-02,12
2019-03,13
2019-04,12
2019-05,6
2019-06,6
2019-07,7
2019-08,17
2019-09,9
2019-10,6
2019-11,14
2019-12,13
2020-01,21
2020-02,27
2020-03,39
2020-04,16
2020-05,14
2020-06,16
2020-07,13
2020-08,8
2020-09,12
2020-10,14
2020-11,10
2020-12,9
2021-01,12
2021-02,11
2021-03,13
2021-04,12
2021-05,4
2021-06,10
2021-07,15
2021-08,11
2021-09,9
2021-10,9
2021-11,23
2021-12,11
2022-01,19
2022-02,9
2022-03,20
2022-04,17
2022-05,11
2022-06,11
2022-07,10
2022-08,12
2022-09,0
2022-10,8
2022-11,11
2022-12,23
2023-01,12
2023-02,7
2023-03,11
2023-04,25
